,gtfs_route_id,service_date,peak_offpeak_ind,otp_numerator,otp_denominator
279,43,2018-02-11,OFF_PEAK,248.0,416.0
280,43,2018-02-12,PEAK,79.0,140.0
281,43,2018-02-12,OFF_PEAK,251.0,357.0
282,1,2018-02-12,OFF_PEAK,967.0,1257.0
283,1,2018-02-12,PEAK,329.0,450.0
284,749,2018-02-12,OFF_PEAK,1785.0,2210.0
285,751,2018-02-12,PEAK,302.0,367.0
286,751,2018-02-12,OFF_PEAK,998.0,1169.0
287,749,2018-02-12,PEAK,732.0,863.0
288,43,2018-02-13,OFF_PEAK,253.0,348.0
289,1,2018-02-13,PEAK,334.0,440.0
290,1,2018-02-13,OFF_PEAK,1000.0,1317.0
291,749,2018-02-13,OFF_PEAK,1337.0,1799.0
292,43,2018-02-13,PEAK,87.0,140.0
293,751,2018-02-13,PEAK,370.0,453.0
294,751,2018-02-13,OFF_PEAK,1025.0,1253.0
295,749,2018-02-13,PEAK,601.0,761.0
296,43,2018-02-14,OFF_PEAK,188.0,342.0
297,43,2018-02-14,PEAK,61.0,140.0
298,1,2018-02-14,PEAK,277.0,382.0
299,1,2018-02-14,OFF_PEAK,794.0,1178.0
300,751,2018-02-14,OFF_PEAK,1000.0,1339.0
301,749,2018-02-14,OFF_PEAK,1872.0,2334.0
302,751,2018-02-14,PEAK,386.0,501.0
303,749,2018-02-14,PEAK,665.0,851.0
304,749,2018-02-15,OFF_PEAK,1619.0,1984.0
305,751,2018-02-15,PEAK,375.0,487.0
306,751,2018-02-15,OFF_PEAK,1037.0,1292.0
307,749,2018-02-15,PEAK,468.0,629.0
308,1,2018-02-15,OFF_PEAK,980.0,1328.0
309,1,2018-02-15,PEAK,355.0,502.0
310,43,2018-02-15,OFF_PEAK,262.0,358.0
311,43,2018-02-15,PEAK,63.0,137.0
312,751,2018-02-16,PEAK,397.0,501.0
313,751,2018-02-16,OFF_PEAK,1121.0,1384.0
314,749,2018-02-16,PEAK,510.0,608.0
315,749,2018-02-16,OFF_PEAK,1343.0,1756.0
316,1,2018-02-16,OFF_PEAK,904.0,1282.0
317,1,2018-02-16,PEAK,376.0,530.0
318,43,2018-02-16,OFF_PEAK,216.0,360.0
319,43,2018-02-16,PEAK,101.0,140.0
320,1,2018-02-17,OFF_PEAK,1119.0,1588.0
321,43,2018-02-17,OFF_PEAK,277.0,516.0
322,751,2018-02-17,OFF_PEAK,1184.0,1628.0
323,749,2018-02-17,OFF_PEAK,2227.0,2933.0
324,751,2018-02-18,OFF_PEAK,1212.0,1450.0
325,749,2018-02-18,OFF_PEAK,2147.0,2682.0
326,1,2018-02-18,OFF_PEAK,875.0,1183.0
327,43,2018-02-18,OFF_PEAK,218.0,418.0
328,751,2018-02-19,OFF_PEAK,1482.0,1697.0
329,749,2018-02-19,OFF_PEAK,2714.0,3217.0
330,1,2018-02-19,OFF_PEAK,1389.0,1793.0
331,43,2018-02-19,OFF_PEAK,367.0,517.0
332,43,2018-02-20,OFF_PEAK,212.0,348.0
333,43,2018-02-20,PEAK,92.0,139.0
334,1,2018-02-20,PEAK,383.0,510.0
335,1,2018-02-20,OFF_PEAK,976.0,1353.0
336,751,2018-02-20,PEAK,363.0,501.0
337,749,2018-02-20,PEAK,688.0,820.0
338,751,2018-02-20,OFF_PEAK,1113.0,1387.0
339,749,2018-02-20,OFF_PEAK,1774.0,2217.0
340,1,2018-02-21,PEAK,267.0,403.0
341,43,2018-02-21,PEAK,33.0,118.0
342,1,2018-02-21,OFF_PEAK,799.0,1095.0
