gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
57,57,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,943,1185,
57A,57A,,Limited Service,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,141,197,
57A,57A,,Limited Service,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,26,35,
59,59,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,161,200,
59,59,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,78,107,
60,60,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,233,428,
60,60,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,51,166,
62,62,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,109,172,
62,62,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,175,226,
64,64,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,140,222,
64,64,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,55,117,
65,65,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,147,216,
65,65,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,182,249,
66,66,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,960,1253,
66,66,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,349,479,
67,67,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,36,56,
67,67,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,66,104,
68,68,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,54,73,
68,68,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,23,41,
69,69,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,110,137,
69,69,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,233,282,
70,70,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,153,263,
70,70,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,385,604,
70A,70A,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,110,172,
70A,70A,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,59,112,
71,71,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,749,946,
71,71,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,331,439,
72,72,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,98,132,
72,72,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,247,283,
